,Unnamed: 0,CANT,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
1029,1029,10,699.5,286.59,286.59,6995.0,2865.87,412.91
1030,1030,3,799.1,168.4,168.4,2397.3,505.21,630.7
1031,1031,14,150.0,78.65,78.65,2100.0,1101.12,71.35
1032,1032,6,500.0,265.64,265.64,3000.0,1593.82,234.36
1033,1033,1,960.34,91.4,91.4,960.34,91.4,868.94
1034,1034,1,772.0,0.0,13.33,772.0,13.33,758.67
1035,1035,1,,0.0,,4972.3,1139.58,
1036,1036,1,1385.0,0.0,281.46,1385.0,281.46,1103.54
1037,1037,1,1848.9,406.12,406.12,1848.9,406.12,1442.78
1038,1038,2,1209.8,0.0,341.41,2419.6,682.82,868.39
1039,1039,2,345.0,0.0,348.92,690.0,697.83,-3.92
1040,1040,2,528.89,0.0,68.25,1057.78,136.5,460.64
1041,1041,1,999.91,226.23,226.23,999.91,226.23,773.68
1042,1042,1,999.91,226.23,226.23,999.91,226.23,773.68
1043,1043,2,2186.0,,,4372.0,1911.36,1230.32
1044,1044,1,264.0,97.49,97.49,264.0,97.49,166.51
1045,1045,1,2660.9,0.0,,2660.9,896.15,1764.75
1046,1046,1,,0.0,,,,
1047,1047,1,155.0,78.65,78.65,155.0,78.65,76.35
1048,1048,1,899.0,0.0,197.53,899.0,197.53,701.47
1049,1049,1,556.7,0.0,72.88,556.7,72.88,483.82
1050,1050,1,1103.45,0.0,400.95,1103.45,400.95,702.5
1051,1051,1,930.0,0.0,159.65,930.0,159.65,770.35
1052,1052,3,845.29,0.0,369.66,2535.87,1108.97,475.63
1053,1053,2,2465.0,0.0,585.2,4930.0,1170.39,1879.8
1054,1054,3,705.5,130.97,130.97,2116.5,392.91,574.53
1055,1055,6,705.5,0.0,143.89,4233.0,863.31,561.61
1056,1056,6,918.0,0.0,502.32,5508.0,,415.68
1057,1057,1,915.0,0.0,239.08,915.0,239.08,675.92
1058,1058,3,715.65,0.0,103.21,2146.95,309.63,612.44
1059,1059,4,515.0,0.0,182.6,2060.0,730.4,332.4
1060,1060,2,2375.5,438.39,438.39,4751.0,876.79,1937.11
1061,1061,1,2080.85,523.53,523.53,2080.85,523.53,1557.32
1062,1062,1,1899.18,164.55,164.55,1899.18,164.55,1734.63
1063,1063,1,,,,3298.28,,
1064,1064,1,150.0,78.65,78.65,150.0,78.65,71.35
1065,1065,1,442.75,253.0,253.0,442.75,253.0,189.75
1066,1066,1,462.0,220.0,220.0,462.0,220.0,242.0
1067,1067,1,1165.95,345.97,345.97,1165.95,345.97,819.98
1068,1068,1,1165.95,0.0,345.97,1165.95,345.97,819.98
1069,1069,4,763.0,0.0,71.72,3052.0,286.9,691.28
1070,1070,4,845.0,0.0,167.31,3380.0,669.24,677.69
1071,1071,1,1615.0,,685.68,1615.0,685.68,929.32
1072,1072,1,1615.0,,685.68,1615.0,685.68,929.32
1073,1073,1,1615.0,,685.68,1615.0,685.68,929.32
1074,1074,1,1615.0,,685.68,1615.0,685.68,929.32
1075,1075,2,485.0,144.4,144.4,970.0,288.8,340.6
1076,1076,18,,,,,,
1077,1077,18,,,,,,
1078,1078,4,125.0,48.2,48.2,500.0,192.79,76.8
1079,1079,8,132.06,0.0,21.33,1056.48,170.62,110.73
1080,1080,2,1853.25,,,3706.5,2233.68,736.41
1081,1081,2,852.53,0.0,55.13,1705.06,110.26,797.4
1082,1082,2,1790.5,155.35,155.35,3581.0,310.7,1635.15
1083,1083,2,1900.0,253.99,253.99,3800.0,507.97,1646.01
1084,1084,1,1280.14,0.0,477.16,1280.14,477.16,802.98
1085,1085,10,978.6,0.0,518.59,9786.0,,460.01
1086,1086,5,732.0,0.0,136.25,3660.0,681.25,595.75
1087,1087,3,1800.0,0.0,312.11,5400.0,936.33,1487.89
