,id,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,reviews_per_month
239,2986194,2.0,2.0,2.0,2.0,99.0,4.38,4.46,4.59,4.64,4.74,0.3
240,2993993,2.0,3.0,2.0,1.0,99.0,4.53,4.67,4.85,4.8,4.71,0.43
241,3008799,1.0,2.0,3.0,,1125.0,5.0,5.0,5.0,5.0,5.0,0.04
242,3013008,1.5,1.0,2.0,2.0,1125.0,4.93,4.94,4.97,4.96,4.91,1.56
243,3049887,1.0,1.0,1.0,2.0,99.0,4.55,4.7,4.83,4.82,4.78,0.64
244,4118496,2.0,3.0,3.0,2.0,99.0,4.71,4.66,4.76,4.92,4.96,0.63
245,4133239,1.0,1.0,1.0,,1125.0,4.82,4.83,4.93,4.92,4.75,0.61
246,4142890,1.0,2.0,2.0,3.0,1125.0,4.86,4.91,4.93,4.97,4.76,1.51
247,4149567,1.0,1.0,2.0,1.0,10.0,4.86,4.91,4.93,4.97,4.76,1.51
248,4171282,1.0,2.0,2.0,,1125.0,4.86,4.91,4.93,4.97,4.76,1.51
249,4197547,1.0,1.0,1.0,2.0,1125.0,4.82,4.73,4.91,5.0,4.91,0.1
250,4234262,1.0,1.0,1.0,3.0,1125.0,4.9,4.93,4.97,4.94,4.98,3.94
251,4263660,1.0,1.0,1.0,1.0,5.0,4.69,4.76,4.87,4.86,4.89,3.8
252,4269477,1.5,1.0,1.0,4.0,1125.0,5.0,5.0,,5.0,5.0,0.02
253,4274998,1.0,1.0,1.0,1.0,1125.0,5.0,5.0,5.0,,5.0,0.02
254,3057573,1.0,2.0,2.0,4.0,1125.0,4.83,4.81,4.85,4.92,4.98,2.67
255,3105424,1.0,2.0,3.0,5.0,365.0,4.84,4.84,4.54,4.89,4.95,0.29
256,3148012,2.0,2.0,3.0,3.0,1125.0,4.93,4.98,4.94,4.96,4.95,1.52
257,3157656,2.0,2.0,3.0,2.0,1125.0,4.76,4.84,4.82,4.88,4.96,0.73
258,4276768,1.0,1.0,2.0,1.0,1125.0,4.97,4.93,5.0,4.97,4.97,0.31
259,4278958,2.0,2.0,2.0,3.0,1125.0,4.85,4.88,4.86,4.96,4.94,0.91
260,4285417,2.0,1.0,2.0,2.0,1125.0,4.58,4.58,4.33,,4.67,2.18
261,4286935,2.0,3.0,3.0,2.0,1125.0,4.76,4.88,4.88,4.88,4.74,0.28
262,4297680,1.0,1.0,2.0,5.0,1125.0,4.91,4.98,4.94,4.96,5.0,0.38
263,4330122,1.5,1.0,1.0,1.0,15.0,4.97,4.97,4.96,4.97,4.86,0.57
264,4343260,1.5,1.0,1.0,1.0,1125.0,4.82,5.0,4.73,4.91,4.91,0.14
265,4390555,1.0,1.0,1.0,3.0,1125.0,,,,,,0.05
266,3176573,1.0,3.0,1.0,,1125.0,,,,,,0.05
267,3183133,1.0,0.0,1.0,2.0,99.0,4.83,4.86,4.98,4.87,4.9,0.57
268,3204960,1.0,1.0,1.0,3.0,1125.0,4.77,4.87,4.71,4.97,4.77,1.13
269,3240086,1.0,3.0,,3.0,1125.0,4.79,4.88,4.79,4.9,4.72,0.6
270,3242026,1.0,3.0,,,1125.0,4.67,4.71,4.71,4.77,4.57,0.74
271,3293072,1.5,1.0,1.0,3.0,180.0,4.96,4.96,4.95,4.96,4.91,1.15
272,4391108,2.0,1.0,1.0,1.0,1125.0,4.96,4.96,4.95,4.96,4.91,1.15
273,4409975,1.0,1.0,1.0,1.0,1125.0,4.9,4.92,4.94,4.96,4.9,3.17
274,4421504,2.0,2.0,3.0,2.8,1125.0,4.78,4.81,4.88,4.74,4.91,1.9
275,4430765,1.0,1.0,1.0,5.0,1125.0,4.93,4.96,5.0,5.0,4.96,0.22
